,cid,canonical_smiles,molecular_weight,xlogp
199,6251,C(C(C(C(C(CO)O)O)O)O)O,182.17,-3.1
200,338,C1=CC=C(C(=C1)C(=O)O)O,138.12,2.3
201,6255,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,342.3,-4.7
202,1188,C1=NC2=C(N1)C(=O)NC(=O)N2,152.11,-0.7
203,1175,C12=C(NC(=O)N1)NC(=O)NC2=O,168.11,-1.9
204,124886,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,307.33,-4.5
205,6260,C1CC(OC1)COC(=O)C2=CN=CC=C2,207.23,1.4
206,66144,CCOC(=O)C(=O)CBr,195.01,1.2
207,6262,C(CC(C(=O)O)N)CN,132.16,-4.4
208,6267,C(C(C(=O)O)N)C(=O)N,132.12,-3.4
209,12047,C(CCN)CC(C(=O)O)N.Cl,182.65,
210,866,C(CCN)CC(C(=O)O)N,146.19,-3
211,6269,CC1=CC=C(C=C1)S(=O)(=O)N,171.22,0.8
212,6271,CCC(=O)C1=CC=C(C=C1)O,150.17,2
213,6274,C1=C(NC=N1)CC(C(=O)O)N,155.15,-3.2
214,1031,CCCO,60.1,0.3
215,597,C1=C(NC(=O)N=C1)N,111.1,-1.7
216,263,CCCCO,74.12,0.9
217,6276,CCCCCO,88.15,1.6
218,241,C1=CC=CC=C1,78.11,2.1
219,1103,C(CCNCCCN)CNCCCN,202.34,-1.1
220,6277,CC(=O)[O-].CC(=O)[O-].[Co+2],177.02,
221,6278,CC(Cl)(Cl)Cl,133.4,2.4
222,23666456,CC(C(=O)[O-])O.[Na+],112.06,
223,6287,CC(C)C(C(=O)O)N,117.15,-2.3
224,6288,CC(C(C(=O)O)N)O,119.12,-2.9
225,6293,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,240.21,3.2
226,6305,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,204.22,-1.1
227,190,C1=NC2=NC=NC(=C2N1)N,135.13,-0.1
228,896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,232.28,0.8
229,6306,CCC(C)C(C(=O)O)N,131.17,-1.7
